PID,POS,X,Y,label
5,15,-57.799777,64.25,1C     
5,16,-44,64.25,1C     
5,17,-44,66.25,1C     
6,1,-44,64.25,1D     
6,2,-57.799777,64.25,1D     
6,3,-57.803333,64.203331,1D     
6,4,-57.803333,64.203331,1D     
6,5,-57.818333,64.071663,1D     
6,6,-57.891666,63.956665,1D     
6,7,-57.943333,63.876667,1D     
6,8,-57.953335,63.834999,1D     
6,9,-57.98,63.735001,1D     
6,10,-58.02,63.619999,1D     
6,11,-58.033333,63.583332,1D     
6,12,-57.994999,63.476665,1D     
6,13,-57.956665,63.380001,1D     
6,14,-57.683334,62.786667,1D     
6,15,-57.558067,62.5,1D     
6,16,-44,62.5,1D     
6,17,-44,64.25,1D     
7,1,-44,62.5,1E     
7,2,-57.558067,62.5,1E     
7,3,-57.423332,62.191666,1E     
7,4,-57.369999,62.058334,1E     
7,5,-57.363335,62.038334,1E     
7,6,-57.351665,62.008335,1E     
7,7,-57.216667,61,1E     
7,8,-57.216667,60.75,1E     
7,9,-44,60.75,1E     
7,10,-44,62.5,1E     
8,1,-44,60.75,1F     
8,2,-57.21667,60.75,1F     
8,3,-57.21667,60.2,1F     
8,4,-52.08333,57.666667,1F     
8,5,-47.58333,55.333333,1F     
8,6,-42,52.25,1F     
8,7,-42,59,1F     
8,8,-44,59,1F     
8,9,-44,60.75,1F     
9,1,-61.66667,57.666667,2G     
9,2,-52.08333,57.666667,2G     
9,3,-57.21667,60.2,2G     
9,4,-59,61,2G     
9,5,-64.5,61,2G     
9,6,-64.5,60.433333,2G     
9,7,-64.5,57.666667,2G     
9,8,-61.66667,57.666667,2G     
10,1,-60,55.333333,2H     
10,2,-47.58333,55.333333,2H     
10,3,-52.08333,57.666667,2H     
10,4,-61.66667,57.666667,2H     
10,5,-64.5,57.666667,2H     
10,6,-64.5,55.333333,2H     
10,7,-60,55.333333,2H     
11,1,-55.68333,52.25,2J     
11,2,-42,52.25,2J     
11,3,-47.58333,55.333333,2J     
11,4,-60,55.333333,2J     
11,5,-64.5,55.333333,2J     
11,6,-64.5,52.25,2J     
11,7,-55.68333,52.25,2J     
12,1,-53.46667,49.25,3K     
12,2,-42,49.25,3K     
12,3,-42,52.25,3K     
12,4,-55.416667,52.25,3K     
12,5,-55.433333,51.633333,3K     
12,6,-56.102285,51.341848,3K     
12,7,-56.993856,50.177702,3K     
