"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Crevalle Jack"|86||"fish"|"jacks"|"inshore;shelf"||"reef associated"|"1;350"|"subtropical"|"piscivore:fish;shrimp;invertebrates"|||124|32|||"Enters rivers. Rare in Atlantic Canada"|||"XXXXX"
"Caranx"|960||"fish"|"jacks"||||||||||||||||"XXXXX"
"Mackerel Scad"|87||"fish"|"jacks"|"oceanic"|"pelagic"|"near islands;reefs;near deep water"|"0;200"|"subtropical"|"zooplanktivore"|||46|||||||"XXXXX"
"Round Scad"|80||"fish"|"jacks"|"oceanic"||"reef associated;near bottom;sandy beaches;neritic water"|"0;100"|"subtropical"|"zooplanktivore:copepods"|||30|3||||||"XXXXX"
"Decapterus"|377||"fish"|"jacks"||||||||||||||||"XXXXX"
"Pilotfish"|88||"fish"|"jacks"||"pelagic"|"reef associated"|"0;30"|"warm;tropical"|"small fish;parasites;excrement;host's leftovers"|||70||||"Follow vessels and sharks."|||"XXXXX"
"Naucrates"|285||"fish"|"jacks"||||||||||||||||"XXXXX"
"Ox-Eye Scad"|982||"fish"|"jacks"|"inshore"||"reef associated"|"35;500"|"subtropical"|"zooplanktivore/benthivore:invertebrates"|||25|||||||"XXXXX"
"Bigeye Scad"|89||"fish"|"jacks"|"inshore/offshore migration"||"reef associated;islands (typically not neritic)"|"0;170"|"subtropical"|"benthivore(inshore):small shrimps;invertebrates;forams and planktivore/piscivore(offshore):zooplankton;fish larvae"|||70||||"Nocturnal"|||"XXXXX"
"Atlantic Lookdown"|91||"fish"|"jacks"|"inshore"|"demersal"|"hard bottom;sand"|"1;53"|"subtropical"|"benthivore/piscivore:small crabs;shrimps;fishes;worms"|||48.3|2.1||||||"XXXXX"
