"name.common.worktable"|"spec"|"Exploited"|"general.taxonomic.group"|"Specific.taxonomic.group"|"habitat.horizontal"|"habitat.vertical"|"habitat.specific"|"depth"|"temperature"|"diet"|"mat.age.yr"|"mat.len.cm"|"size.max.len.cm"|"size.max.mass.kg"|"age.max.yr"|"fecundity.eggs.per.female"|"observations.of.interest"|"Needs.more.work"|"Notes"|"end"
"Photonectes Margarita"|419||"fish"|||"mesopelagic"||"0;2000"|||||39.6|||||||"XXXXX"
"Photonectes (genus)"|566||"fish"|||||||||||||||||"XXXXX"
"Photostomias Guernei"|396||"fish"|||"pelagic"||"deep"|"tropical;temperate"||||16|||||||"XXXXX"
"Photostomias"|934||"fish"|||||||||||||||||"XXXXX"
"Rhadinesthes Decimus"|885||"fish"||"oceanic"|"pelagic"||"500+ during day"||"zooplanktivore/piscivore:fish;crustaceans"|||41|||||||"XXXXX"
"Stomias Affinis, Gunther's boafish"|825||"fish"|||"bathypelagic"|"pelagic:some may migrate to surface at night"|"0;3182"||"piscivore:""mictophides"""|||21.9|||||||"XXXXX"
"Boa Dragonfish"|159||"fish"||"shelf;oceanic"|"bathypelagic"|"pelagic:may migrate vertically at night"|"137;1000. Most collected from within 300m from surface"||"zooplanktivore/piscivore:midwater fish;crustaceans"|||30|||||||"XXXXX"
"Stomias Brevibarbatus"|574||"fish"||"oceanic"|"pelagic"|"may migrate to near surface at night"|100||"zooplanktivore/piscivore:midwater fish;crustaceans"|||20.4|||||||"XXXXX"
"Dragonfish"|756||"fish"|||||||||||||||||"XXXXX"
"Thysanactis Dentex"|984||"fish"|||||||||||||||||"XXXXX"
"Threelight Dragonfish"|721||"fish"|||"mesopelagic"||"?;1860"|||||32|||||||"XXXXX"
"Ultimostomias Mirabilis"|959||"fish"|||||||||||||||||"XXXXX"
"Stomiiformes"|680||"fish"|||||||||||||||||"XXXXX"
"Boney fishes (Superclass Osteichthyes)"|560||"fish"|||||||||||||||||"XXXXX"
"Harlequin Duck"|9495|"no"|"bird"||"inshore"|"pelagic"|"turbulent water;shoreline"|"0;10"||"crustaceans;molluscs;chitons"|2||54|0.726|15|"6;8"|"Breed up North near freshwater. Winter in salt water. Not known to breed in NS.  Known by many as ""Lords"" and ""Ladies"""|||"XXXXX"
"Common Eider"|9493|"yes"|"bird"||"inshore"|"pelagic"|"islands;shoals;headlands"|"0;20"||"benthivore:mussels;crustaceans;molluscs"|"2;3"||61|3.04|20|"4;5"||1||"XXXXX"
"King Eider"|9494|"no"|"bird"||"inshore"|"pelagic"||"0;25"||"benthivore:mussels;crustaceans;molluscs"|||64|2.1||"4;6"|"Rare around here. Arctic bird."|||"XXXXX"
"Razorbill"|9476|"no"|"bird"|"Alcid"|"inshore;shelf;oceanic"|"pelagic"|"cliffs;coastal islands during breeding season"|"0;60"||"piscivore/zooplanktivore:Clupea harengus;sand lance;capelin;euphausiids"|"4;5"||39|0.73|28|1|"least common alcid in Atlantic Canada. Deepest diving Atlantic alcid. Only come ashore to breed. Mostly winter offshore."|||"XXXXX"
"Dovekie"|9479|"no"|"bird"|"Alcid"|"inshore;shelf;oceanic"|"pelagic"|"breed in rocky, mountanous coastal areas"|"0;30"||"zooplanktivore/piscivore:copepods;plankton;small fish"|||21|0.163||1|"Smallest Atlantic alcid. Breeds in high Arctic. Around here in winter, typically offshore."|||"XXXXX"
"Marbled Murrelet"|9484|"no"|"bird"|"Alcid"|"inshore"|"pelagic"|"protected bays, upwellings"|"0;? (~40)"||"piscivore:sand lance;Pacific herring;capelin"|||25|0.2|25|1|"Pacific coast bird"|||"XXXXX"
"Black Guillemot"|9483|"no"|"bird"|"Alcid"|"inshore"|"pelagic"|"rocky cliffs;islands during breeding season"|"0;50"||"piscivore/zooplanktivore:fish;crustaceans;molluscs"|||38|0.46|22|"1;2"||||"XXXXX"
"Atlantic Puffin"|9485|"no"|"bird"|"Alcid"|"inshore;shelf;oceanic"|"pelagic"|"grassy offshore islands during breeding season"|"0;60"||"piscivore/zooplanktivore:Clupea harengus;sand lance;capelin;euphausiids"|5||34|0.55|22|1|"Mostly winter offshore. Only come ashore to breed"|||"XXXXX"
"Common Murre"|9480||"bird"|"Alcid"|"inshore;shelf;oceanic"|"pelagic"|"rocky shore;cliffs;islands during breeding season"|"0;50"||"piscivore/zooplanktivore:Clupea harengus;sand lance;capelin;euphausiids"|||46|1.13|26|1|"Mostly winter offshore. Only come ashore to breed"|||"XXXXX"
"Thick-Billed Murre"|9481||"bird"|"Alcid"|"inshore;shelf;oceanic"|"pelagic"|"rocky shore;cliffs;islands during breeding season"|"0;140"||"piscivore/zooplanktivore:Clupea harengus;sand lance;capelin;euphausiids"|||44|0.952|25|1|"Mostly winter offshore. Only come ashore to breed"|||"XXXXX"
"Red-Necked Phalarope"|9453|"no"|"bird"||"inshore"||"breed on Arctic tundra. At sea outside of breeding season"|0||"zooplanktivore/insectivore"|||18|0.048|5|"3;7"|"Males incubate eggs and raise young. Non breeding season is spent on open water"|||"XXXXX"
"Parasitic Jaeger"|9452|"no"|"bird"|||||||"piscivore/?:fish;insects;birds;eggs;small mammals"|||53|0.419||2|"Steals food from gulls and terns"|||"XXXXX"
"Black Tern"|9467|"no"|"bird"|"Tern"||||0||"piscivore (and insectivore)"|||25|||"2;4"||||"XXXXX"
"Bridled Tern"|9474|"no"|"bird"|"Tern"|"inshore"|"pelagic"||0||"piscivore/zooplanktivore:small fish;squid;crustaceans;insects"|||38|0.099||"1;2"|"Formerly known as Sterna anaethetus.  Not typically around here"|||"XXXXX"
"Caspian Tern"|9468|"no"|"bird"|"Tern"|"inland;inshore"||"sandy, pebbly shore;coasts"|0||"piscivore:mullet;menhaden"|||58|0.635||"1;3"|"AKA Hydroprogne caspia.   Will steal fish from other birds."|||"XXXXX"
"Roseate Tern"|"new species"|"no"|"bird"|"Tern"|"inshore"|||||"piscivore:small fish"|||39|0.111||"1;3"|"Uncommon. Only comes ashore to breed"|3||"XXXXX"
"Common Tern"|9471|"no"|"bird"|"Tern"|"inland;inshore"||"sandy shore;grassy;islands"|0||"piscivore;small fish;shrimp;insects"|||41|0.119|23|"2; 4"||||"XXXXX"
"Royal Tern"|9469|"no"|"bird"|"Tern"|"inshore"||"coastal;beaches;rarely inland"|||"piscivore:fish;aquatic invertebrates;crabs;squid;shrimp."|||53|0.453||"2;4"|"AKA Thalasseus maximus.  Steals fish from other birds.  Not typically around here"|||"XXXXX"
"Arctic Tern"|9472|"no"|"bird"|"Tern"|"inshore"||"shoreline;islands;tundra"|0||"piscivore:sandlance;capelin;herring;Amphipods;crabs;krill;insects;shrimp"|||43|0.108|20|"1;3"|"Forages by swooping down and catching prey at the water surface."|||"XXXXX"
"Sandwich Tern"|9470|"no"|"bird"|"Tern"|"inshore"||"coastal;beaches;islands"|"0;1"||"piscivore:small fish;squid;shrimp"|||41|0.207||"1;3"|"Not typically around here. Dives from great heights for prey"|||"XXXXX"
"Least Tern"|9475|"no"|"bird"|"Tern"|"inland;inshore"||"rocky shore;sandy shore;rivers"|0||"piscivore:small fish"|||24|0.052||"1;3"|"Not typically around here"|||"XXXXX"
"Herring Gull"|9451|"no"|"bird"|"Gull"|"inland;inshore"|"not pelagic"|"rocky shore;sandy shore"|0|||||66|||"2;3"||||"XXXXX"
"Laughing Gull"|9460|"no"|"bird"|"Gull"|"inland;inshore"||"salt marshes;lagoons;coastal beaches"|0||"piscivore/?:fish;crabs;snails;insects;eggs;chicks"|||43|0.326||3||||"XXXXX"
"Yellow-Legged Gull"|9456|"no"|"bird"|"Gull"|"inshore"||"cliffs;shore;islands"|||"""almost anything"""|||61|1.179||3|"rare in North America"|||"XXXXX"
"Ring-Billed Gull"|9454|"no"|"bird"|"Gull"|"inland;inshore"||"shore;grassland"|0||"piscivore/?/scavenger:fish;rodents;small aquatic animals; bird chicks and eggs;grasshoppers"|||48|0.544||||||"XXXXX"
"Lesser Black-Backed Gull"|9457|"no"|"bird"|"Gull"|"inland;inshore"||"coastal cliffs;dunes;estuaries;inland lakes"|0||"piscivore/?:worms;insects;bird eggs;nestling;fish;shellfish;small mammals;carrion"|||56|0.771||3||||"XXXXX"
"Great Black-Backed Gull"|9455|"no"|"bird"|"Gull"|"inshore"|"not pelagic"|"coastal;rocky beach;sandy beach;"|0||"omnivore:fish;molluscs;crustaceans;birds;carrion;rodents"|||74|1.587||"2;3"||||"XXXXX"
"Little Gull"|9462|"no"|"bird"|"Gull"|"inland;inshore"|"not pelagic"|"estuaries;lakes;coasts"|0||"piscivore/zooplanktivore:small fish;worms;insects;crustaceans"|||28|0.119||3||||"XXXXX"
"Common Black-Headed Gull"|9458|"no"|"bird"|"Gull"|"inland;inshore"|"not pelagic"|"marshes;lakes;estuaries;inland"|||"feeds inland"|||44|||||||"XXXXX"
"Ivory Gull"|9463|"no"|"bird"|"Gull"|"inshore"||"polar;assoc. with drifting pack ice"|"shallow"||"piscivore/zooplanktivore:Myctophids;Boreogadus saida;amphipods;euphausiids;mammal feces"|||43|0.588||2||||"XXXXX"
"Black-Legged Kittiwake"|9466|"no"|"bird"|"Gull"|"shelf"||"breed on offshore islands"|0||"piscivore/omnivore:fish;crustaceans;marine worms;molluscs;squid;insects;plant material"|||43|0.419||"1;3"||||"XXXXX"
"Northern Fulmar"|9486|"no"|"bird"||"inshore;shelf;oceanic"|"pelagic"|"cliffs"|0||"piscivore:fish;oil;offal;squid"|||52||40|1|"Especially susceptible to discarded plastic"|||"XXXXX"
"Greater Shearwater"|9488|"no"|"bird"||"shelf;oceanic"|"pelagic"||"0;3"||"piscivore:fish;squid"|||53|||1||||"XXXXX"
"Sooty Shearwater"|9489|"no"|"bird"||"shelf;oceanic"|"pelagic"|"breed on sandy/rocky islands"|"0;68"||"piscivore/zooplanktivore/?:fish;squid;crustaceans;offal"|||50|0.816||1|"Follow boats and whales for food"|||"XXXXX"
"Manx Shearwater"|9490|"no"|"bird"||"shelf;oceanic"|"pelagic"|"breed on grassy islands in the North. "|"0;?"||"piscivore/zooplanktivore:herring;sardines;crustaceans;cephalopods;surface offal"|||38|0.45|55|1|"Form life-long monogomous pair-bonds"|||"XXXXX"
"Double-Crested Cormorant"|9477|"no"|"bird"||"inland;inshore"|"not pelagic"|"lakes;rivers;swamps;coast"|"0;7.5"||"opportunistic piscivore/benthivore:fish;crustaceans;amphibians"|||90|1.814|17|"2;4"||||"XXXXX"
"Great Cormorant"|9478|"no"|"bird"||"inland;inshore"|"not pelagic"|"marine;estuaries;lakes;rivers"|"0;6+"||"piscivore:"|||94|||"3;4"||||"XXXXX"
"Northern Gannet"|9450|"no"|"bird"||"inshore;shelf"|"pelagic"|"cliffs"|"0;22"||"piscivore:mackerel;herring;fish"|||102|2.99||1|"Monogamous. Return to same nest each year"|||"XXXXX"
"Bird (Class Aves)"|9410||"bird"|||||||||||||||5||"XXXXX"
"Bignose Shark"|1000|"no"|"fish"|"Shark"|"shelf edge;slope"||"reef associated"|"25;500"|"subtropical"|"piscivore:bony fishes;other sharks;stingrays;cuttlefish"|||300|167.8||3||||"XXXXX"
"Blacktip Shark"|965|"no"|"fish"|"Shark"|"inshore;shelf"|||"0;30"||"piscivore: small schooling fish"|||275|122.8|12|"1;10"||||"XXXXX"
"Oceanic Whitetip Shark"|244|"no"|"fish"|"Shark"|"oceanic"|"pelagic"||"0;150"|"22+"|"piscivore:tuna;barracuda;white marlin;squid;turtles;seabirds "|||400||16|"5;15"|"Canada is farthest North of range."|||"XXXXX"
"Sandbar Shark"|245|"no"|"fish"|"Shark"|"inshore;shelf;oceanic"||"sandy, muddy coastal areas. Seldom at the surface.  Avoid rough bottom, coral, and beaches."|"?;1800,  mostly 20;65"|"23;27"|"piscivore/benthivore:bony fishes;small sharks;cephalopods;shrimps;rays;gastropods "|||300|117.9|32|"5;12"|"Carcharhinus plumbeus. Not typically this far North.  "|||"XXXXX"
"Dusky Shark"|246|"no (very rare)"|"fish"|"Shark"|"inshore;shelf"|"pelagic"|||"19, warm;temperate"|"piscivore:sardines;anchovies;tuna;mackerel;flatfish;eels;dogfish;catsharks;skates;rays"|||364|180|"30+"|"6;14"|"Rare in Canadian water."|||"XXXXX"
"Night Shark"|1003|"no"|"fish"|"Shark"|"shelf;oceanic"|"benthopelagic"||"0;600"|"11;16"|"piscivore:bony fish;squid"|||280|76.7|||"Not dangerous"|||"XXXXX"
"Blue Shark"|231|"yes"|"fish"|"Shark"|"shelf"|"pelagic"|||"7;20"|"piscivore:pelagic fish;flatfish;squid"|6||383|198.22|20|"25;50"|"Litters up to 135 have been reported.  Fished recreationally, but commercially considered a nuisance."|||"XXXXX"
"Atlantic Sharpnose Shark"|235|"no"|"fish"|"Shark"|"inshore"|||"?;12"||"shrimps;molluscs;small fish"|||120|||"4;7"|"Most northerly distribution is Bay of Fundy, and very rare that far North"|||"XXXXX"
"Tiger Shark"|1004||"fish"|"Shark "|"oceanic (also inshore in other countries)"|||"0;350"|"tropical;warm temperate"|"benthivore/piscivore:crabs;lobsters;squid;bony fish;small sharks;skates;rays;porpoises;turtles;marine birds;mammals"|||640|1524|27|"35;55"|"One of the most dangerous and aggressive shark species, very active when stimulated by food. Frequently found in estuaries in other countries. "|||"XXXXX"
"Apristurus Laurussonii, Iceland Catshark "|947||"fish"|"Shark"|"slope"|"bathydemersal"|"mud;soft bottom"|"560;1462"|||||67|||||||"XXXXX"
"Deepsea Cat Shark, Deepwater Catshark"|239|"no"|"fish"|"Shark"|"slope"|||"660+ in Canada,  in general 1100;1750"||"unknown"|||54.2|||"unknown"||||"XXXXX"
"Apristurus"|983||"fish"|"Shark"||||||||||||||||"XXXXX"
"Great Hammerhead Shark"|1001|"no"|"fish"|"Shark"|"inshore;shelf;oceanic"|"pelagic"|"reef associated"|"1;300"||"piscivore/benthivore:stingrays;batoids;groupers;sea catfishes;small bony fishes;crabs;squid;other sharks;rays;lobsters "|||610|449.5||"13;42"|"Not typically North of North Carolina. Potentially dangerous to humans. Largest hammerhead"|||"XXXXX"
"Smooth Hammerhead Shark "|236|"no"|"fish"|"Shark"|"inshore"|"pelagic"||"?;20"|"warm temperate. Not tropical"|"Piscivore:herring;menhaden;skates;stingrays;sharks (its own species included);shrimp;crustaceans;cephalopods"|||400|"400+"||"20;40"|"Only hammerhead that is found in Canadian water.  Migrate North for summer.  Sometimes taken as bycatch. Can be dangerous to divers."|||"XXXXX"
"Smooth Dogfish, Dusky Smooth-hound"|222||"fish"|"Shark"|"inshore;shelf;slope"|"demersal"||"?;800"|"subtropical"|"benthivore:crabs;lobsters"|||150|12.2|7|"4;20"||||"XXXXX"
"Bigeye Thresher Shark"|1002||"fish"|"Shark"|"inshore;shelf;oceanic"|"pelagic"||"0;500"|"tropical"|"piscivore/benthivore:mackerels;herrings;small billfishes;whiting;hake;oceanic squids;crab megalopae (possibly from other prey) "|||500|360|20|"2;4"|"Rare this far North"|||"XXXXX"
"Thresher Shark"|234|"yes"|"fish"|"Shark"|"inshore;shelf"|"pelagic"||"?;350"|"warm;temperate"|"piscivore:herring;mackerel;squid"|||"610; 550 (Canadian)"||50|"2;6"|"Mainly a sport fish"|||"XXXXX"
"Basking Shark"|233||"fish"|"Shark"|"inshore;shelf;oceanic"|"pelagic"||"200;2000"|"11;24"|"planktivore:copepods;crustaceans;fish eggs;larvae"|||1000|2721|50||"Sluggish, slow moving."|||"XXXXX"
"Great White Shark"|232|"no"|"fish"|"Shark"|"inshore;shelf"|"pelagic"||"0;1280"|"5;27"|"piscivore:salmon;hake;halibut;mackerel;tunas;sharks;turtles;seabirds;marine mammals"|||660|1,900|60|"2;14"||||"XXXXX"
"Shortfin Mako"|238|"yes"|"fish"|"Shark"|"shelf"|"pelagic"||"0;500"|"17;22"|"piscivore: squid;boney fish;sharks;cephalopods"|||400|505.8|29|"4;25"|"As deep as 740m.  The fastest shark."|||"XXXXX"
"Longfin Mako"|1005||"fish"|"Shark"|"oceanic"|"pelagic"||"0;200"||"unknown"|||417|||2|"Gulf Stream "|||"XXXXX"
"Porbeagle"|230|"yes"|"fish"|"Shark"|"shelf"|"pelagic"||"0;370"|"5;10"|"piscivore: herring;mackerel;lancetfish;squid"|"8;13"|"174;217"|350|230|40|"1;5"|"Largest directed shark fishery in Atlantic Canada.  Will come very close to shore in late summer."|||"XXXXX"
"Sand Tiger Shark "|215||"fish"|"Shark"|"inshore"|"demersal. sometimes seen resting on the bottom."|"sand;shallow bays. Rock. Reefs."|"0;200,  10;60 typically"||"piscivore:bony fish;small sharks;rays;squid;crabs;lobsters"|||320|||2|"or Eugomphodus taurus or Carcharias taurus. Harmless unless provoked."|||"XXXXX"
"Roughtail Stingray"|213||"fish"|"Stingray"||"demersal"|"sand;mud"|"?;200"|"subtropical"|"benthivore/piscivore:invertebrates;fish"|||220|200||||||"XXXXX"
"Pelagic Stingray"|218||"fish"|"Stingray"||"pelagic"||"37;238"|"subtropical"|"piscivore:coelenterates;squid;decapods;fish"|||160|||"1;9"|"Pteroplatytrygon violacea. Could have two litters a year"|||"XXXXX"
"Atlantic Giant Manta"|225|"no"|"fish"|"Stingray"|"inshore"|"pelagic"|"reef associated"|"0;24"||"planktivore/piscivore"|||800|3,000|20|2|"World's largest ray"|||"XXXXX"
"Rays"|214||"fish"|"Stingray"||||||||||||||||"XXXXX"
"Richardson's Ray"|1007||"fish"|"Stingray"||||||||||||||2||"XXXXX"
"Richardson's Ray"|1021||"fish"|"Stingray"||"bathydemersal"||"1370;2500"||"piscivore:fish;some shrimp"|||175|||"<100"|"Oviparous"|2||"XXXXX"
"Arctic Skate"|210|"no"|"fish"|"Skate"|"shelf;slope"|"bathydemersal"||"140;2500"|"cold;polar;0"|"benthivore/piscivore:crustaceans;small fishes"|||87|||"<100"||||"XXXXX"
"Breviraja Marklei; Nova Scotia Skate"|981||"fish"|"Skate"||"bathydemersal"||"443;988"|||||45.1|||"<100"|"Oviparous"|||"XXXXX"
"Breviraja Spinosa"|591||"fish"|"Skate"||"bathydemersal"||"323;675"|||||23.6|||"<100"||||"XXXXX"
"Breviraja Plutonia"|1023||"fish"|"Skate"||"bathydemersal"||"290;750"|||||25.3|||"<100"|"Fenestraja plutonia. Oviparous"|||"XXXXX"
"Breviraja"|1022||"fish"|"Skate"||||||||||||||||"XXXXX"
"White Skate/Sailray"|217|"no?"|"fish"|"Skate"||"bathydemersal"||"150;650"||"benthivore/piscivore:fish;crustceans;polychaetes"|||123|11.2||"<100"|"Dipturus linteus."|1||"XXXXX"
"Abyssal Skate/Deepwater Ray"|212|"no?"|"fish"|"Skate"|"slope;abyssal"|"demersal"||"600;2050"||"benthivore/piscivore"|||90|||"<100"|"Mainly deeper than 1400m"|1||"XXXXX"
"Raja Bigelow"|589||"fish"|"Skate"|"slope"|"bathydemersal"||"650;4156"|||||55|||"<100"||||"XXXXX"
"Brier Skate"|206|"no?"|"fish"|"Skate"|"inshore"|"demersal"|||"10;21"|"benthivore/piscivore:decapods;bivalves;polychaetes;squid;fish"|||65|||||1||"XXXXX"
"Little Skate"|203|"yes (bycatch)"|"fish"|"Skate"|"inshore;shelf"|"demersal"|"sand;gravel"|"0;90"|"2;19"|"benthivore/piscivore:decapods;amphipods;some fish"|||54|||10|"Preyed on by sharks;rays;grey seals"|1||"XXXXX"
"Round Skate"|207|"no?"|"fish"|"Skate"|"shelf;slope"|"bathydemersal"||"170;2050"|"1;7:  3;5.5"|"benthivore:crustaceans;copepods;amphipods;mysids"|||53|||"<100"||1||"XXXXX"
"Freckled Skate"|967||"fish"|"Skate"|"shelf edge;slope"||"reef associated"|"55;530"||"benthivore/piscivore:decapods;amphipods;polychaetes;squid;fish"|||26|||"<100"||||"XXXXX"
"Jensen's Shorttail Skate"|209|"no?"|"fish"|"Skate"||"bathydemersal"||"366;2196"|"prefers high temperatures"|"benthivore/piscivore:small fish;crustaceans"|||85|||"<100"||1||"XXXXX"
"Barndoor Skate"|200|"yes (bycatch)"|"fish"|"Skate"|"shelf"|"demersal"|"variable"|"0;750"|"0;20"|"benthivore/piscivore:bivalves;squid;decapods;shrimp;worms;dogfish;alewife;herring;butterfish;sandlance;etc"|||152|18|||"No directed fishery.  May be preyed on by large sharks. No directed fishery."|1||"XXXXX"
"Freckled Skate; Speckled Skate"|969||"fish"|"Skate"||"demersal"||"53;457"|"tropical"||||43|||||||"XXXXX"
"Soft Skate"|208|"no?"|"fish"|"Skate"|"slope;abyssal"|"bathydemersal"||"450;1568"||"benthivore:crustaceans"|||70|||"<100"|"Malacoraja spinacidermis"|1||"XXXXX"
"Winter Skate"|204|"yes"|"fish"|"Skate"|"shelf"|"demersal"|"sand;gravel"|"0;371"|"1.1;15"|"benthivore/piscivore:amphipods;polychaetes;sand lance;dollarfish;cunner;squid"|||110||21|"<100"|"Leucoraja ocellata.  Preyed on by sharks;rays;grey seals"|||"XXXXX"
"Thorny Skate"|201|"yes (bycatch)"|"fish"|"Skate"|"oceanic"|"demersal"|"variable"|"18;996; 36;108 (preferred)"|"1;10"|"benthivore/piscivore:polychaetes;crustaceans;fish"|||105|4.25||13|"Amblyraja radiata.  Preyed on by grey seals."|1||"XXXXX"
"Smooth Skate"|202|"yes (bycatch)"|"fish"|"Skate"|"shelf"|"bathydemersal"|"variable"|"46;914: 31;413"|".5;10"|"benthivore/zooplanktivore:euphausiids;decapods;mysids"|||61|||"<100"|"No directed fishery.  Preferred salinity: 32;34ppt"|1||"XXXXX"
"Spinytail Skate"|205|"no"|"fish"|"Skate"|"shelf"|"demersal"||"140;800"|" -1.5;3.3: 7.5"|"benthivore/piscivore:capelin"|||170|||"<100"|"Bathyraja spinicauda"|||"XXXXX"
"Skates"|211|"no"|"fish"|"Skate"||"demersal"||||"benthivore/piscivore"||||||||||"XXXXX"
"Skates And Rays(Order Batoidea)"|219||"fish"|||||||||||||||||"XXXXX"
"Black Dogfish"|221|"no"|"fish"|"Dogfish shark"|"shelf"|"pelagic;demersal"||"275;1600"|"3.5;4.5"|"cephalopods;pelagic crustaceans;jellyfish;small redfish"|||84|||||||"XXXXX"
"Rough Sagre"|224|"no"|"fish"|"Dogfish shark"|"shelf;oceanic"|||"567;2213"||"unknown"|||75|||||||"XXXXX"
"Squaliolus Laticaudus, Spined Pygmy Shark "|573||"fish"|"Dogfish shark"|"shelf;slope;oceanic"|"bathypelagic"|"pelagic:diurnal vertical migrations"|"200;1200"|"tropical"|"piscivore:deepwater squid;lanternfish;gonostomatids;idiacanthids"|||25|||||||"XXXXX"
"Portuguese Shark (Dogfish)"|223|"no"|"fish"|"Dogfish shark"|"shelf"|"demersal"||"910;2700"|"5;13"|"piscivore:squid;bottom dwelling fish"|||120|||"8;16"||||"XXXXX"
"Greenland Shark"|237|"no"|"fish"|"Dogfish shark"|"inshore;shelf"|"benthopelagic"||"200;730, but can be 0;1200"|"2;7"|"benthivore/piscivore:capelin;char;halibut;herring;lumpfish;salmon;benthic fish and invertebrates "|||640|1022|"unknown"|"1;10"|"Also feeds on marine mammals (seals,cetaceans) and seabirds.  Comes closer to the surface in winter.  Very slow moving.  Few enemies except humans."|||"XXXXX"
"Spiny Dogfish"|220|"yes"|"fish"|"Dogfish shark"|"inshore"|"benthopelagic"||"0;730"|"3;15"|"piscivore: boney fish;opportunistic"|"6;12"|"60;80"|130|9.1|75|"2;16"||||"XXXXX"
"Dogfish (family Sqaulidae)"|274||"fish"|"Dogfish shark"||||||||||||||||"XXXXX"
"Atlantic Angel Shark, Sand Devil "|1020||"fish"|"Angelsharks"|"shelf edge;slope"|"demersal"||"0;1390"|"subtropical"|"piscivore/benthivore:small bottom fishes;crustaceans;bivalves"|||152|||"?;25"|"Typically South of New England"|||"XXXXX"
"Atlantic Torpedo"|216|"no"|"fish"|"Torpedo electric ray"||"benthopelagic"|"sand;mud"|"2;800"|"subtropical"|"piscivore:benthic and pelagic boney fishes;small sharks"|||180|90||"?;60"|"Can give an electric shock up to 220V. "|||"XXXXX"
"Shark"|592||"fish"|"Shark"||||||||||||||||"XXXXX"
"Deepwater Chimaera/Small-eye rabbitfish"|242||"fish"|||||||||||||||||"XXXXX"
"Longnose Chimera"|247||"fish"|||||||||||||||||"XXXXX"
"Knifenose Chimera"|248||"fish"|||||||||||||||||"XXXXX"
"Cartilaginous Fishes (Classes: Selachii, Chrondrythes)"|275||"fish"|"Shark"||||||||||||||||"XXXXX"
"Walrus"|910||"mammal"||"inshore"|||"0;90"||"benthivore/piscivore: clams;worms;other inverts;fish;pinnipeds"||||1600|50|||||"XXXXX"
"Hooded Seal"|"new species"||"mammal"||"inshore"||||||||||"30;35"|1||3||"XXXXX"
"Grey Seal "|"new species"|"yes"|"mammal"||"inshore"|||||"benthivore/piscivore: Ammodytes spp;groundfish "|||250|300||1|"females are much smaller (<200cm and <150kg)."|3||"XXXXX"
"Harp Seal"|"new species"|"yes"|"mammal"||"inshore"|||"0;198"|||||170|130|"30;35"|||3||"XXXXX"
"Harbour Seal"|"new species"||"mammal"||"inshore"|||"0;50"||"piscivore: groundfish;herring;sea bass;shrimp;squid"|||180||"20;25(males) 30;35(females)"|||3||"XXXXX"
"Seals (True, Earless; Family Phocidae)"|900||"mammal"|||||||||||||||||"XXXXX"
"Whales (Suborder Odontoceit)"|920||"mammal"|||||||||||||||||"XXXXX"
"Dolphins (Suborder Odontoceit)"|930||"mammal"|||||||||||||||||"XXXXX"
"Atlantic Pilot Whale"|921|"no"|"mammal"||||||||||640|||||||"XXXXX"
"Atlantic White-sided Dolphin"|933|"no"|"mammal"||"inshore;shelf"|"pelagic"||"0;270"|"6;20"|"piscivore:shrimp;smelt;hake;squid;herring;mackerel"|||270|250|27|1|"Preyed on by killer whales and sharks "|||"XXXXX"
"White Beaked Dolphin"|932|"no"|"mammal"||"inshore;shelf"|"pelagic"||"0;?"|"temperate;subarctic"|"piscivore:cod;whiting;squid;herring;octopus;crustaceans"|||350|||1|"More common in Northeast Atlantic than NW."|||"XXXXX"
"Atlantic Bottlenose Dolphin"|931|"no"|"mammal"|||"pelagic"||"0;?"|"warm;temperate"|"piscivore/benthivore:small fish;squid;crabs;octopus"|||400|650|40|1|"Males rarely live more than 30yrs"|||"XXXXX"
"Northern Bottlenose Whale"|922||"mammal"|||||||||||||||||"XXXXX"
"Loggerhead Sea Turtle"|9436||"reptile"|"Turtle"||||||||||||||||"XXXXX"
"Tortoises And Sea Going Turtles"|9430||"reptile"|"Turtle"||||||||||||||||"XXXXX"
"Green Sea Turtle"|9431|"no"|"reptile"|"Turtle"|"inshore"||"seagrass beds;lagoons"|"0;4. Can dive ~40m, but not common."|"tropical;subtropical;temperate"|"herbivore:seagrass;seaweed"|||150|395|80|"100;200"||||"XXXXX"
"Hawksbill Sea Turtle"|9432|"no"|"reptile"|"Turtle"|"inshore;open ocean"|"pelagic"|"coral reefs;shallow lagoons. Coastal"||"tropical"|"sea sponges;jellyfish;invertebrates"||||127|50|140|"highly migratory. Few predators. Sharks;octopus;large fish;crocodiles"|||"XXXXX"
"Kemps Ridley Sea Turtle"|9433|"no"|"reptile"|"Turtle"|||"sand;mud;shallow water"|"0;37"||"benthivore:crabs;crustaceans"|||65|45||"100;110"|"Rarest and most endangered sea turtle. Majority found in the Gulf of Mexico. Rarely come as far North as Cape Cod.  Lay eggs during the day, once a year. There are two times during the year when these turtles nest."|||"XXXXX"
"Olive Ridley Sea Turtle"|9434|"no"|"reptile"|"Turtle"||||||||||||||||"XXXXX"
"Leatherback Sea Turtle"|9435|"no"|"reptile"|"Turtle"|"inshore"|"pelagic"|"open water, coastal"|"0;1200"|"0;26+"|"jellyfish"|||256|916||100|"Highly migratory."|||"XXXXX"
"Adult Ascidians"|1820||"invertebrate"|||||||||||||||5||"XXXXX"
"Sea Squirts"|1821||"invertebrate"|||||||||||||||||"XXXXX"
